# Constructed from biom file
#OTU ID	KarstCh1	KarstCh2	KarstCh3	KarstCh4	KarstCh5	KarstCh6	KarstCh7	KarstCh8
85fc3f384b168a68ddf5dea7d79d56c2	0.0	0.0	0.0	0.0	26436.0	37.0	11.0	4.0
8f0cb4a02dbd264df7d88d94a3f60088	11.0	18015.0	19.0	10.0	1106.0	0.0	0.0	0.0
ed3e9912ffac4094303328fb6a4ea10c	0.0	16077.0	16.0	0.0	1296.0	0.0	0.0	0.0
2a37ed772dfa72442237bd6cf7e2c510	0.0	6433.0	10.0	4.0	0.0	0.0	0.0	0.0
a3d1a387576afad3f43ac9d909f203c4	0.0	0.0	0.0	0.0	5560.0	0.0	0.0	0.0
b2eef53891af0a5a3572fdbbe29736be	0.0	0.0	2407.0	0.0	532.0	500.0	556.0	453.0
dd6d50608e9948c6186dee3b78704157	478.0	881.0	792.0	566.0	255.0	356.0	320.0	157.0
97cca57609f2770b13a5470f8c4e67d0	0.0	957.0	0.0	0.0	1302.0	0.0	0.0	0.0
08f771460d5405f21b326acaceed3aa2	0.0	0.0	0.0	0.0	2076.0	0.0	0.0	0.0
63f5eadb2d80c6b22a4354ccf6ea34cd	170.0	394.0	357.0	236.0	141.0	95.0	121.0	103.0
496ffb766c8b066c5a79b37060bead91	0.0	1442.0	0.0	0.0	49.0	0.0	0.0	0.0
44fe890de78fbb9189e1835445023295	0.0	0.0	0.0	0.0	1391.0	0.0	0.0	0.0
8954ddf2a1b346ce82ef6c311832f66e	0.0	0.0	0.0	0.0	1315.0	0.0	3.0	0.0
e3aa1ce73bcd825ec1c9c190c255179f	157.0	188.0	338.0	73.0	0.0	132.0	62.0	152.0
c4882dc60b49c95b93e46ef6e32dfc12	0.0	343.0	79.0	133.0	190.0	50.0	41.0	32.0
845c5b605362639e7b9be4b119aa3311	0.0	19.0	0.0	0.0	780.0	0.0	0.0	0.0
7ab28673abcf8c8d9e7ed072c9bd4b7b	105.0	178.0	174.0	114.0	46.0	74.0	72.0	30.0
a96b33c75863bb9141c51c3ee039fe7d	19.0	22.0	317.0	135.0	252.0	21.0	20.0	0.0
45ced4b240fc3da2842e03fcb5ff1412	0.0	772.0	0.0	0.0	0.0	0.0	0.0	0.0
34752cd6e43ebc50e7dcf3a6ee83722e	226.0	158.0	36.0	75.0	49.0	169.0	0.0	0.0
062abe2d3206936f0658d77efb3ca355	0.0	0.0	0.0	0.0	588.0	0.0	0.0	0.0
cf68cb2e631dd3a6c2f730720fec138e	59.0	81.0	99.0	93.0	35.0	53.0	81.0	83.0
ad85d13dfc4c42f1ef7a74ee55f61d35	0.0	0.0	0.0	0.0	582.0	0.0	0.0	0.0
